EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
689639,20171021,90.00000000,r,DES survey hex -235-14 tiling 9,0.82800000
687952,20171016,90.00000000,r,DES survey hex 260-410 tiling 8,0.82800000
691288,20171026,90.00000000,r,DES survey hex 364-582 tiling 8,0.82800000
668660,20170817,90.00000000,r,DES survey hex 108-521 tiling 6,0.83000000
691686,20171027,90.00000000,r,DES survey hex 314-359 tiling 8,0.83000000
691292,20171026,90.00000000,r,DES survey hex 337-572 tiling 8,0.83100000
689038,20171019,90.00000000,r,DES survey hex 303-308 tiling 8,0.83200000
688996,20171019,90.00000000,r,DES survey hex 21-308 tiling 9,0.83200000
687541,20171015,90.00000000,r,DES survey hex -407-491 tiling 9,0.83200000
681721,20170925,90.00000000,r,DES survey hex 223-278 tiling 8,0.83200000
687867,20171016,90.00000000,r,DES survey hex -234-491 tiling 9,0.83300000
692082,20171028,90.00000000,r,DES survey hex 419+16 tiling 8,0.83300000
669998,20170820,90.00000000,r,DES survey hex -7-471 tiling 7,0.83300000
680455,20170922,90.00000000,r,DES survey hex -385-481 tiling 7,0.83300000
687272,20171014,90.00000000,r,DES survey hex 351-379 tiling 7,0.83400000
694595,20171109,90.00000000,r,DES survey hex 182-176 tiling 8,0.83400000
692116,20171028,90.00000000,r,DES survey hex 500-116 tiling 8,0.83400000
680463,20170922,90.00000000,r,DES survey hex -458-471 tiling 8,0.83500000
678963,20170917,90.00000000,r,DES survey hex 435+26 tiling 8,0.83600000
694245,20171108,90.00000000,r,DES survey hex -107-521 tiling 9,0.83700000
680733,20170923,90.00000000,r,DES survey hex -336-582 tiling 8,0.83700000
680491,20170922,90.00000000,r,DES survey hex -257-481 tiling 8,0.83700000
670440,20170821,90.00000000,r,DES survey hex 180+26 tiling 8,0.83700000
686511,20171012,90.00000000,r,DES survey hex 135-532 tiling 8,0.83800000
668658,20170817,90.00000000,r,DES survey hex 81-532 tiling 6,0.83800000
671997,20170825,90.00000000,r,DES survey hex -137-491 tiling 8,0.83800000
681734,20170925,90.00000000,r,DES survey hex 257-258 tiling 8,0.83800000
681524,20170925,90.00000000,r,DES survey hex -403-511 tiling 8,0.83900000
681562,20170925,90.00000000,r,DES survey hex -151-603 tiling 8,0.83900000
689804,20171021,90.00000000,r,DES survey hex 200-440 tiling 8,0.83900000
686494,20171012,90.00000000,r,DES survey hex -214-582 tiling 9,0.83900000
692061,20171028,90.00000000,r,DES survey hex 356-4 tiling 8,0.84000000
668029,20170816,90.00000000,r,DES survey hex -249-400 tiling 8,0.84000000
689817,20171021,90.00000000,r,DES survey hex 280-491 tiling 8,0.84000000
672427,20170826,90.00000000,r,DES survey hex 228+37 tiling 9,0.84000000
668663,20170817,90.00000000,r,DES survey hex 135-532 tiling 6,0.84100000
689327,20171020,90.00000000,r,DES survey hex 271-542 tiling 8,0.84100000
689016,20171019,90.00000000,r,DES survey hex 170-308 tiling 8,0.84300000
680816,20170923,90.00000000,r,DES survey hex 76-572 tiling 8,0.84300000
