index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
90,685824,20171010,90.0,z,DES survey hex 288-390 tiling 7,0.935
91,692381,20171029,90.0,z,DES survey hex 65-461 tiling 8,0.936
92,693133,20171031,90.0,z,DES survey hex 386-126 tiling 9,0.936
93,689728,20171021,90.0,z,DES survey hex 84-14 tiling 8,0.937
94,691955,20171028,90.0,z,DES survey hex 41-298 tiling 9,0.938
95,678952,20170917,90.0,z,DES survey hex 196-45 tiling 9,0.938
96,691979,20171028,90.0,z,DES survey hex 52+6 tiling 9,0.938
97,686450,20171012,90.0,z,DES survey hex -421-410 tiling 8,0.939
98,691925,20171028,90.0,z,DES survey hex -48-542 tiling 9,0.939
99,691925,20171028,90.0,z,DES survey hex -48-542 tiling 9,0.939
100,684015,20171002,90.0,z,DES survey hex 573-481 tiling 7,0.94
101,675275,20170906,90.0,z,DES survey hex 556-227 tiling 8,0.94
102,693020,20171031,90.0,z,DES survey hex 351-187 tiling 9,0.94
103,674344,20170901,90.0,z,DES survey hex -266-542 tiling 7,0.94
104,694302,20171108,90.0,z,DES survey hex 174-390 tiling 8,0.94
105,674354,20170901,90.0,z,DES survey hex -185-511 tiling 8,0.941
106,692383,20171029,90.0,z,DES survey hex 69-420 tiling 8,0.943
107,693021,20171031,90.0,z,DES survey hex 349-207 tiling 8,0.944
108,692992,20171031,90.0,z,DES survey hex -344-603 tiling 9,0.945
109,686466,20171012,90.0,z,DES survey hex -219-643 tiling 8,0.946
110,674335,20170901,90.0,z,DES survey hex -251-420 tiling 8,0.947
111,681522,20170925,90.0,z,DES survey hex -430-501 tiling 8,0.947
112,683965,20171002,90.0,z,DES survey hex 468-176 tiling 8,0.947
113,685821,20171010,90.0,z,DES survey hex 209-329 tiling 7,0.948
114,670466,20170821,90.0,z,DES survey hex 307+47 tiling 8,0.948
115,691903,20171028,90.0,z,DES survey hex -184-592 tiling 9,0.948
116,691959,20171028,90.0,z,DES survey hex 6-410 tiling 9,0.948
117,692295,20171029,90.0,z,DES survey hex -463-410 tiling 9,0.949
118,690814,20171025,90.0,z,DES survey hex -44-14 tiling 8,0.949
119,689749,20171021,90.0,z,DES survey hex 355+37 tiling 9,0.949
120,693155,20171031,90.0,z,DES survey hex 295-603 tiling 7,0.949
121,674326,20170901,90.0,z,DES survey hex -186-410 tiling 9,0.95
122,693152,20171031,90.0,z,DES survey hex 253-572 tiling 7,0.95
123,690808,20171025,90.0,z,DES survey hex -187+16 tiling 8,0.951
124,693050,20171031,90.0,z,DES survey hex 112-400 tiling 7,0.951
125,691940,20171028,90.0,z,DES survey hex -83-511 tiling 9,0.952
126,674342,20170901,90.0,z,DES survey hex -290-400 tiling 8,0.952
127,689732,20171021,90.0,z,DES survey hex 98-227 tiling 9,0.952
128,681981,20170926,90.0,z,DES survey hex -187-4 tiling 8,0.952
129,689732,20171021,90.0,z,DES survey hex 98-227 tiling 9,0.952
130,693144,20171031,90.0,z,DES survey hex 214-653 tiling 9,0.954
131,690819,20171025,90.0,z,DES wide hex 20+47 tiling 8,0.955
132,682443,20170927,90.0,z,DES survey hex 56-521 tiling 8,0.955
133,692377,20171029,90.0,z,DES survey hex 277-75 tiling 8,0.955
135,684017,20171002,90.0,z,DES survey hex 606-481 tiling 7,0.956
136,677398,20170913,90.0,z,DES survey hex 403-55 tiling 7,0.957
137,692406,20171029,90.0,z,DES survey hex 153-359 tiling 8,0.958
139,691542,20171027,90.0,z,DES survey hex 90-430 tiling 7,0.959
140,680408,20170922,90.0,z,DES survey hex -484-420 tiling 8,0.959
141,691487,20171027,90.0,z,DES survey hex -283-491 tiling 9,0.96
142,681986,20170926,90.0,z,DES survey hex -171-14 tiling 8,0.96
143,692986,20171031,90.0,z,DES survey hex -380-501 tiling 9,0.961
144,675270,20170906,90.0,z,DES survey hex 653-481 tiling 7,0.961
145,692986,20171031,90.0,z,DES survey hex -380-501 tiling 9,0.961
146,680436,20170922,90.0,z,DES survey hex -483-440 tiling 8,0.962
147,693171,20171031,90.0,z,DES survey hex 364-582 tiling 7,0.962
148,692314,20171029,90.0,z,DES survey hex -439-440 tiling 9,0.962
149,672802,20170827,90.0,z,DES survey hex 212+6 tiling 8,0.963
150,693006,20171031,90.0,z,DES survey hex 242-288 tiling 8,0.963
151,692978,20171031,90.0,z,DES survey hex -386-572 tiling 9,0.963
152,672802,20170827,90.0,z,DES survey hex 212+6 tiling 8,0.963
153,692974,20171031,90.0,z,DES survey hex -332-491 tiling 9,0.963
154,690804,20171025,90.0,z,DES survey hex -299-14 tiling 8,0.965
156,690804,20171025,90.0,z,DES survey hex -299-14 tiling 8,0.965
157,691933,20171028,90.0,z,DES survey hex -2-542 tiling 9,0.966
158,692046,20171028,90.0,z,DES survey hex 292-24 tiling 8,0.966
159,691902,20171028,90.0,z,DES survey hex -183-613 tiling 9,0.966
160,681903,20170926,90.0,z,DES survey hex -505-471 tiling 9,0.966
161,692982,20171031,90.0,z,DES survey hex -398-532 tiling 9,0.966
162,694266,20171108,90.0,z,DES survey hex 230-126 tiling 8,0.967
163,691184,20171026,90.0,z,DES survey hex 52-55 tiling 8,0.968
164,691949,20171028,90.0,z,DES survey hex 10-501 tiling 9,0.968
165,691986,20171028,90.0,z,DES survey hex 4-24 tiling 9,0.968
166,693158,20171031,90.0,z,DES survey hex 314-633 tiling 7,0.969
167,692389,20171029,90.0,z,DES survey hex 113-379 tiling 8,0.969
168,691560,20171027,90.0,z,DES survey hex 42-278 tiling 9,0.969
169,674329,20170901,90.0,z,DES survey hex -208-420 tiling 8,0.969
170,692045,20171028,90.0,z,DES survey hex 292-4 tiling 8,0.972
171,682029,20170926,90.0,z,DES survey hex 52+26 tiling 7,0.972
173,680403,20170922,90.0,z,DES survey hex -485-400 tiling 8,0.972
174,689748,20171021,90.0,z,DES survey hex 340+26 tiling 9,0.973
176,693005,20171031,90.0,z,DES survey hex 174-390 tiling 7,0.974
177,692000,20171028,90.0,z,DES survey hex -25-603 tiling 9,0.974
179,691894,20171028,90.0,z,DES survey hex -212-542 tiling 9,0.975
180,693125,20171031,90.0,z,DES survey hex 501-136 tiling 8,0.975
181,675600,20170907,90.0,z,DES survey hex -370-450 tiling 7,0.975
182,690807,20171025,90.0,z,DES survey hex -219+16 tiling 8,0.976
183,692990,20171031,90.0,z,DES survey hex -390-461 tiling 9,0.976
184,692052,20171028,90.0,z,DES survey hex 244-14 tiling 8,0.976
185,692302,20171029,90.0,z,DES survey hex -208-440 tiling 9,0.976
186,692337,20171029,90.0,z,DES survey hex 150-237 tiling 7,0.977
