EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
680516,20170922,90.00000000,i,DES survey hex -79-420 tiling 8,0.98100000
689771,20171021,90.00000000,i,DES survey hex 28-532 tiling 9,0.98100000
681494,20170925,90.00000000,i,DES survey hex -448-552 tiling 8,0.98100000
668045,20170816,90.00000000,i,DES survey hex -144-410 tiling 8,0.98200000
680689,20170923,90.00000000,i,DES survey hex -468-623 tiling 8,0.98200000
677288,20170913,90.00000000,i,DES survey hex -216-603 tiling 8,0.98200000
691260,20171026,90.00000000,i,DES survey hex 158-481 tiling 8,0.98300000
672051,20170825,90.00000000,i,DES wide hex 386-440 tiling 10,0.98300000
680717,20170923,90.00000000,i,DES survey hex -355-623 tiling 8,0.98400000
671597,20170824,90.00000000,i,DES survey hex -271-410 tiling 8,0.98400000
689277,20171020,90.00000000,i,DES survey hex -122-420 tiling 9,0.98500000
680785,20170923,90.00000000,i,DES survey hex 34-623 tiling 8,0.98500000
689621,20171021,90.00000000,i,DES survey hex -331+6 tiling 9,0.98500000
687543,20171015,90.00000000,i,DES survey hex -505-491 tiling 9,0.98500000
668074,20170816,90.00000000,i,DES wide hex 356-491 tiling 10,0.98500000
668032,20170816,90.00000000,i,DES survey hex -228-410 tiling 8,0.98600000
670398,20170821,90.00000000,i,DES survey hex -35-623 tiling 8,0.98700000
689341,20171020,90.00000000,i,DES survey hex 389-613 tiling 8,0.98700000
688998,20171019,90.00000000,i,DES survey hex 57-329 tiling 9,0.98700000
680832,20170923,90.00000000,i,DES survey hex 132-65 tiling 9,0.98700000
672070,20170825,90.00000000,i,DES wide hex 453-471 tiling 10,0.98700000
680519,20170922,90.00000000,i,DES survey hex -59-410 tiling 8,0.98800000
692016,20171028,90.00000000,i,DES survey hex -87-603 tiling 9,0.98800000
680789,20170923,90.00000000,i,DES survey hex -25-603 tiling 8,0.98800000
693204,20171031,90.00000000,i,DES survey hex 495-410 tiling 8,0.98800000
681244,20170924,90.00000000,i,DES survey hex 231-146 tiling 7,0.98900000
681287,20170924,90.00000000,i,DES survey hex 340+26 tiling 9,0.98900000
692110,20171028,90.00000000,i,DES survey hex 468-116 tiling 8,0.99200000
682012,20170926,90.00000000,i,DES survey hex -28+16 tiling 8,0.99200000
678950,20170917,90.00000000,i,DES survey hex 180-55 tiling 9,0.99300000
681235,20170924,90.00000000,i,DES survey hex 181-136 tiling 8,0.99300000
689274,20171020,90.00000000,i,DES survey hex -99-430 tiling 9,0.99300000
680458,20170922,90.00000000,i,DES survey hex -353-481 tiling 8,0.99300000
692097,20171028,90.00000000,i,DES survey hex 419-65 tiling 9,0.99400000
