index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
89,689038,20171019,90.0,r,DES survey hex 303-308 tiling 8,0.832
90,688996,20171019,90.0,r,DES survey hex 21-308 tiling 9,0.832
91,687541,20171015,90.0,r,DES survey hex -407-491 tiling 9,0.832
92,681721,20170925,90.0,r,DES survey hex 223-278 tiling 8,0.832
93,687867,20171016,90.0,r,DES survey hex -234-491 tiling 9,0.833
94,692082,20171028,90.0,r,DES survey hex 419+16 tiling 8,0.833
95,669998,20170820,90.0,r,DES survey hex -7-471 tiling 7,0.833
96,680455,20170922,90.0,r,DES survey hex -385-481 tiling 7,0.833
97,687272,20171014,90.0,r,DES survey hex 351-379 tiling 7,0.834
99,692116,20171028,90.0,r,DES survey hex 500-116 tiling 8,0.834
100,680463,20170922,90.0,r,DES survey hex -458-471 tiling 8,0.835
101,678963,20170917,90.0,r,DES survey hex 435+26 tiling 8,0.836
102,694245,20171108,90.0,r,DES survey hex -107-521 tiling 9,0.837
103,680733,20170923,90.0,r,DES survey hex -336-582 tiling 8,0.837
104,680491,20170922,90.0,r,DES survey hex -257-481 tiling 8,0.837
105,670440,20170821,90.0,r,DES survey hex 180+26 tiling 8,0.837
106,686511,20171012,90.0,r,DES survey hex 135-532 tiling 8,0.838
107,668658,20170817,90.0,r,DES survey hex 81-532 tiling 6,0.838
108,671997,20170825,90.0,r,DES survey hex -137-491 tiling 8,0.838
109,681734,20170925,90.0,r,DES survey hex 257-258 tiling 8,0.838
110,681524,20170925,90.0,r,DES survey hex -403-511 tiling 8,0.839
111,681562,20170925,90.0,r,DES survey hex -151-603 tiling 8,0.839
112,689804,20171021,90.0,r,DES survey hex 200-440 tiling 8,0.839
113,686494,20171012,90.0,r,DES survey hex -214-582 tiling 9,0.839
114,692061,20171028,90.0,r,DES survey hex 356-4 tiling 8,0.84
115,668029,20170816,90.0,r,DES survey hex -249-400 tiling 8,0.84
116,689817,20171021,90.0,r,DES survey hex 280-491 tiling 8,0.84
117,672427,20170826,90.0,r,DES survey hex 228+37 tiling 9,0.84
118,668663,20170817,90.0,r,DES survey hex 135-532 tiling 6,0.841
119,689327,20171020,90.0,r,DES survey hex 271-542 tiling 8,0.841
120,689016,20171019,90.0,r,DES survey hex 170-308 tiling 8,0.843
121,680816,20170923,90.0,r,DES survey hex 76-572 tiling 8,0.843
122,678755,20170917,90.0,r,DES survey hex -503-613 tiling 7,0.844
123,672761,20170827,90.0,r,DES survey hex 180-55 tiling 8,0.844
124,687861,20171016,90.0,r,DES survey hex 20+6 tiling 8,0.844
125,681658,20170925,90.0,r,DES survey hex 269-207 tiling 8,0.844
126,692124,20171028,90.0,r,DES survey hex 550-126 tiling 8,0.844
127,688927,20171019,90.0,r,DES survey hex 100+16 tiling 9,0.845
128,669497,20170819,90.0,r,DES survey hex -55-430 tiling 8,0.848
129,682083,20170926,90.0,r,DES survey hex 36-4 tiling 8,0.848
130,678929,20170917,90.0,r,DES survey hex 164+16 tiling 9,0.849
131,680433,20170922,90.0,r,DES survey hex -484-420 tiling 8,0.849
132,680665,20170923,90.0,r,DES survey hex -594-582 tiling 9,0.85
133,677270,20170913,90.0,r,DES survey hex -325-633 tiling 7,0.85
134,681283,20170924,90.0,r,DES survey hex 428-521 tiling 8,0.85
135,682038,20170926,90.0,r,DES survey hex 36+16 tiling 8,0.851
136,689798,20171021,90.0,r,DES survey hex 221-430 tiling 8,0.851
137,672414,20170826,90.0,r,DES survey hex 244+26 tiling 9,0.852
138,681724,20170925,90.0,r,DES survey hex 187-278 tiling 8,0.852
139,687860,20171016,90.0,r,DES survey hex 4-4 tiling 8,0.852
140,680666,20170923,90.0,r,DES survey hex -590-562 tiling 9,0.853
141,694209,20171108,90.0,r,DES survey hex -48-542 tiling 9,0.853
142,691269,20171026,90.0,r,DES survey hex 287-582 tiling 8,0.854
143,682080,20170926,90.0,r,DES survey hex 52+6 tiling 8,0.855
144,678966,20170917,90.0,r,DES survey hex 324+16 tiling 8,0.855
145,677213,20170913,90.0,r,DES survey hex -530-521 tiling 7,0.856
146,687243,20171014,90.0,r,DES survey hex 249-461 tiling 7,0.856
147,689822,20171021,90.0,r,DES survey hex 329-501 tiling 8,0.856
148,689772,20171021,90.0,r,DES survey hex 28-532 tiling 9,0.856
149,672786,20170827,90.0,r,DES survey hex 132-4 tiling 8,0.856
150,678768,20170917,90.0,r,DES survey hex -560-552 tiling 8,0.857
151,680677,20170923,90.0,r,DES survey hex -578-653 tiling 7,0.857
152,681212,20170924,90.0,r,DES survey hex 153-359 tiling 7,0.857
153,689009,20171019,90.0,r,DES survey hex 114-298 tiling 8,0.857
154,691280,20171026,90.0,r,DES survey hex 385-633 tiling 8,0.857
155,681212,20170924,90.0,r,DES survey hex 153-359 tiling 7,0.857
156,694151,20171108,90.0,r,DES survey hex -140-14 tiling 8,0.859
157,689828,20171021,90.0,r,DES survey hex 376-521 tiling 8,0.859
158,678754,20170917,90.0,r,DES survey hex -503-592 tiling 7,0.86
159,678852,20170917,90.0,r,DES survey hex -154-582 tiling 8,0.86
160,680778,20170923,90.0,r,DES survey hex -25-603 tiling 8,0.861
161,693911,20171107,90.0,r,DES survey hex -55-430 tiling 9,0.861
162,694214,20171108,90.0,r,DES survey hex -40-633 tiling 9,0.862
163,668047,20170816,90.0,r,DES survey hex -122-420 tiling 8,0.862
164,677219,20170913,90.0,r,DES survey hex -454-511 tiling 8,0.863
165,677217,20170913,90.0,r,DES survey hex -478-521 tiling 8,0.864
166,692105,20171028,90.0,r,DES survey hex 484-105 tiling 8,0.864
167,681731,20170925,90.0,r,DES survey hex 240-268 tiling 8,0.865
168,686514,20171012,90.0,r,DES survey hex 162-542 tiling 8,0.865
169,687537,20171015,90.0,r,DES survey hex -433-481 tiling 9,0.865
170,680446,20170922,90.0,r,DES survey hex -418-430 tiling 8,0.866
171,686420,20171012,90.0,r,DES survey hex -353-481 tiling 8,0.866
172,691692,20171027,90.0,r,DES survey hex 393-359 tiling 8,0.867
173,682034,20170926,90.0,r,DES survey hex 4+37 tiling 8,0.867
174,687881,20171016,90.0,r,DES survey hex 3-65 tiling 8,0.868
175,680833,20170923,90.0,r,DES survey hex 164-65 tiling 9,0.868
176,681673,20170925,90.0,r,DES survey hex 387-65 tiling 8,0.869
177,689645,20171021,90.0,r,DES survey hex -203+6 tiling 9,0.869
178,678751,20170917,90.0,r,DES survey hex -504-572 tiling 7,0.87
179,687806,20171016,90.0,r,DES survey hex -418-562 tiling 9,0.87
180,691224,20171026,90.0,r,DES survey hex 3-613 tiling 9,0.871
181,682019,20170926,90.0,r,DES survey hex 4+16 tiling 8,0.871
182,678964,20170917,90.0,r,DES survey hex 340+26 tiling 8,0.871
183,686529,20171012,90.0,r,DES survey hex 10-390 tiling 8,0.871
184,689045,20171019,90.0,r,DES survey hex 340-308 tiling 8,0.872
185,668044,20170816,90.0,r,DES survey hex -144-410 tiling 8,0.872
186,669982,20170820,90.0,r,DES survey hex -163-461 tiling 8,0.873
187,692090,20171028,90.0,r,DES survey hex 435-14 tiling 8,0.873
188,677222,20170913,90.0,r,DES survey hex -456-491 tiling 7,0.873
189,672745,20170827,90.0,r,DES survey hex 212-14 tiling 8,0.873
190,670445,20170821,90.0,r,DES survey hex 212+26 tiling 8,0.874
191,689806,20171021,90.0,r,DES survey hex 224-450 tiling 8,0.874
192,681570,20170925,90.0,r,DES survey hex -105-653 tiling 9,0.876
193,681652,20170925,90.0,r,DES survey hex 235-207 tiling 8,0.876
194,672721,20170827,90.0,r,DES survey hex 52+47 tiling 8,0.876
195,682458,20170927,90.0,r,DES survey hex 22-440 tiling 8,0.877
196,691704,20171027,90.0,r,DES survey hex 631-562 tiling 7,0.877
197,691234,20171026,90.0,r,DES survey hex 13-369 tiling 9,0.877
198,680440,20170922,90.0,r,DES survey hex -441-420 tiling 8,0.877
199,682068,20170926,90.0,r,DES survey hex 116+26 tiling 9,0.878
200,678774,20170917,90.0,r,DES survey hex -531-542 tiling 8,0.878
201,672409,20170826,90.0,r,DES survey hex 291+37 tiling 9,0.88
202,688934,20171019,90.0,r,DES survey hex 57-329 tiling 8,0.88
203,678921,20170917,90.0,r,DES survey hex 196-24 tiling 9,0.88
204,682093,20170926,90.0,r,DES survey hex 100+37 tiling 9,0.881
205,672425,20170826,90.0,r,DES survey hex 228+16 tiling 9,0.881
206,672008,20170825,90.0,r,DES survey hex -39-491 tiling 8,0.882
207,681663,20170925,90.0,r,DES survey hex 299-197 tiling 8,0.884
208,689270,20171020,90.0,r,DES survey hex -186-410 tiling 9,0.884
209,680448,20170922,90.0,r,DES survey hex -436-461 tiling 7,0.885
210,688958,20171019,90.0,r,DES survey hex 16-349 tiling 8,0.885
211,686463,20171012,90.0,r,DES survey hex -182-653 tiling 9,0.886
212,689033,20171019,90.0,r,DES survey hex 281-308 tiling 8,0.886
213,681555,20170925,90.0,r,DES survey hex -254-633 tiling 8,0.887
214,693199,20171031,90.0,r,DES survey hex 475-440 tiling 8,0.887
215,689834,20171021,90.0,r,DES survey hex 372-542 tiling 8,0.888
216,691223,20171026,90.0,r,DES survey hex -25-603 tiling 9,0.888
217,668690,20170817,90.0,r,DES survey hex 279-562 tiling 6,0.888
218,681213,20170924,90.0,r,DES survey hex 133-369 tiling 7,0.888
219,692057,20171028,90.0,r,DES survey hex 324-4 tiling 8,0.889
220,678760,20170917,90.0,r,DES survey hex -594-582 tiling 8,0.889
221,677255,20170913,90.0,r,DES survey hex -345-532 tiling 8,0.89
222,685385,20171009,90.0,r,DES survey hex -473-582 tiling 8,0.89
223,687839,20171016,90.0,r,DES survey hex -238-532 tiling 9,0.891
224,691250,20171026,90.0,r,DES survey hex 134-471 tiling 8,0.891
225,689763,20171021,90.0,r,DES survey hex 292-4 tiling 8,0.891
226,680684,20170923,90.0,r,DES survey hex -503-592 tiling 8,0.892
227,689333,20171020,90.0,r,DES survey hex 265-521 tiling 8,0.893
228,687951,20171016,90.0,r,DES survey hex 302-420 tiling 8,0.893
229,670479,20170821,90.0,r,DES survey hex 212+47 tiling 8,0.893
230,668716,20170817,90.0,r,DES survey hex 265-521 tiling 6,0.893
231,681651,20170925,90.0,r,DES survey hex 236-227 tiling 8,0.893
232,678897,20170917,90.0,r,DES survey hex 84-14 tiling 8,0.895
233,691232,20171026,90.0,r,DES survey hex 16-349 tiling 9,0.895
234,668709,20170817,90.0,r,DES survey hex 209-501 tiling 6,0.895
235,689020,20171019,90.0,r,DES survey hex 207-308 tiling 8,0.897
236,691688,20171027,90.0,r,DES survey hex 335-349 tiling 8,0.897
237,681703,20170925,90.0,r,DES survey hex 58-308 tiling 8,0.899
238,681735,20170925,90.0,r,DES survey hex 276-268 tiling 8,0.899
239,680896,20170923,90.0,r,DES survey hex 80-237 tiling 8,0.899
240,672801,20170827,90.0,r,DES survey hex 196+16 tiling 9,0.899
241,687849,20171016,90.0,r,DES survey hex -30-440 tiling 8,0.9
242,682049,20170926,90.0,r,DES survey hex 100+16 tiling 8,0.9
243,669972,20170820,90.0,r,DES survey hex -251-420 tiling 8,0.901
244,681717,20170925,90.0,r,DES survey hex 169-288 tiling 8,0.901
245,670397,20170821,90.0,r,DES survey hex -35-623 tiling 8,0.901
246,694239,20171108,90.0,r,DES survey hex -129-552 tiling 9,0.902
247,672779,20170827,90.0,r,DES survey hex 228-4 tiling 8,0.902
248,681643,20170925,90.0,r,DES survey hex 184-217 tiling 8,0.903
250,692093,20171028,90.0,r,DES survey hex 435-34 tiling 8,0.903
251,687799,20171016,90.0,r,DES survey hex -462-430 tiling 9,0.903
252,680767,20170923,90.0,r,DES survey hex -59-592 tiling 8,0.904
253,692085,20171028,90.0,r,DES survey hex 451-4 tiling 8,0.904
254,668616,20170817,90.0,r,DES survey hex -219-643 tiling 7,0.904
255,680767,20170923,90.0,r,DES survey hex -59-592 tiling 8,0.904
256,671596,20170824,90.0,r,DES survey hex -271-410 tiling 8,0.904
257,682071,20170926,90.0,r,DES survey hex 132+37 tiling 9,0.904
258,689831,20171021,90.0,r,DES survey hex 401-532 tiling 8,0.904
259,671987,20170825,90.0,r,DES survey hex -186-430 tiling 8,0.908
260,681729,20170925,90.0,r,DES survey hex 221-258 tiling 8,0.908
261,678748,20170917,90.0,r,DES survey hex -504-532 tiling 8,0.909
262,689837,20171021,90.0,r,DES survey hex 426-562 tiling 8,0.909
263,680658,20170923,90.0,r,DES survey hex -460-450 tiling 8,0.909
264,670401,20170821,90.0,r,DES survey hex -15-653 tiling 7,0.91
265,692111,20171028,90.0,r,DES survey hex 468-116 tiling 8,0.911
266,681582,20170925,90.0,r,DES survey hex -25-532 tiling 8,0.911
267,692101,20171028,90.0,r,DES survey hex 468-95 tiling 8,0.912
268,686421,20171012,90.0,r,DES survey hex -326-471 tiling 8,0.913
269,692499,20171029,90.0,r,DES survey hex 452-187 tiling 8,0.914
270,680819,20170923,90.0,r,DES survey hex 79-552 tiling 8,0.914
271,672400,20170826,90.0,r,DES survey hex 244+6 tiling 9,0.914
272,680826,20170923,90.0,r,DES survey hex 114-278 tiling 8,0.914
273,691690,20171027,90.0,r,DES survey hex 354-359 tiling 8,0.915
274,678766,20170917,90.0,r,DES survey hex -563-572 tiling 8,0.915
275,691690,20171027,90.0,r,DES survey hex 354-359 tiling 8,0.915
276,680655,20170923,90.0,r,DES survey hex -482-461 tiling 8,0.915
277,694241,20171108,90.0,r,DES survey hex -157-542 tiling 9,0.915
278,689001,20171019,90.0,r,DES survey hex 49-562 tiling 9,0.916
279,686479,20171012,90.0,r,DES survey hex -183-613 tiling 9,0.916
280,689013,20171019,90.0,r,DES survey hex 133-308 tiling 8,0.916
281,681708,20170925,90.0,r,DES survey hex 96-288 tiling 8,0.918
282,689840,20171021,90.0,r,DES survey hex 455-592 tiling 8,0.92
283,672780,20170827,90.0,r,DES survey hex 164-4 tiling 8,0.92
284,682047,20170926,90.0,r,DES survey hex 84+26 tiling 8,0.921
285,677224,20170913,90.0,r,DES survey hex -481-481 tiling 8,0.921
286,681711,20170925,90.0,r,DES survey hex 133-288 tiling 8,0.923
287,694243,20171108,90.0,r,DES survey hex -132-532 tiling 9,0.923
